2012-12-27 15:58:21	- AGENT - Agent login successful 	127.0.0.1	6003
2012-12-27 15:58:27	- AGENT - Agent Dialout 	6003	4001
2012-12-27 15:58:34	- AGENT - Agent Dialout 	6002	4010
2012-12-27 15:58:37	- AGENT - Agent Dialout 	6001	4002
2012-12-27 16:08:43	- AGENT - Agent Dialout 	6001	4002
2012-12-27 16:09:55	- AGENT - Agent Dialout 	6001	4002
2012-12-27 16:10:38	- AGENT - Agent Dialout 	6001	4002
2012-12-27 16:16:29	- AGENT - Agent Dialout 	6003	4001
2012-12-27 16:30:18	- AGENT - Agent logout	127.0.0.1	6003
2012-12-27 16:30:21	- AGENT - Agent logout	127.0.0.1	6002
2012-12-27 16:30:24	- AGENT - Agent logout - exit system	127.0.0.1	6001
